CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Location 1,Total Incidents
09/01/2015,23:58:00,4C,600 S PACA ST,AGG. ASSAULT,OTHER,941,SOUTHERN,Ridgely's Delight,"(39.283010000000, -76.624750000000)",1
09/01/2015,23:36:00,6J,1000 EVANS WAY,LARCENY,,433,NORTHEASTERN,Armistead Gardens,"(39.304860000000, -76.545180000000)",1
09/01/2015,23:30:00,4B,300 W CAMDEN,AGG. ASSAULT,KNIFE,941,CENTRAL,Stadium Area,"(39.285230000000, -76.619700000000)",1
09/01/2015,23:30:00,6D,1100 RACE ST,LARCENY FROM AUTO,,942,SOUTHERN,Sharp-Leadenhall,"(39.276100000000, -76.616710000000)",1
09/01/2015,22:25:00,4E,1000 WASHINGTON BLVD,COMMON ASSAULT,,932,SOUTHERN,Washington Village/Pigtow,"(39.282900000000, -76.631890000000)",1
09/01/2015,22:00:00,6E,1400 W FAYETTE ST,LARCENY,,711,WESTERN,Franklin Square,"(39.289740000000, -76.639730000000)",1
09/01/2015,22:00:00,7A,500 DOLPHIN ST,AUTO THEFT,,123,CENTRAL,Upton,"(39.300540000000, -76.628280000000)",1
09/01/2015,21:30:00,6D,3700 TOONE ST,LARCENY FROM AUTO,,232,SOUTHEASTERN,Canton,"(39.278500000000, -76.566770000000)",1
09/01/2015,21:00:00,5A,500 S CHESTER ST,BURGLARY,,232,SOUTHEASTERN,Canton,"(39.285520000000, -76.587000000000)",1
09/01/2015,21:00:00,6E,2900 WILKENS AVE,LARCENY,,832,SOUTHWESTERN,Wilhelm Park,"(39.275870000000, -76.665120000000)",1
09/01/2015,20:30:00,6G,300 E MADISON ST,LARCENY,,312,EASTERN,Penn-Fallsway,"(39.298830000000, -76.610420000000)",1
09/01/2015,19:15:00,3K,1100 N GILMOR ST,ROBBERY - RESIDENCE,,743,WESTERN,Sandtown-Winchester,"(39.301240000000, -76.643120000000)",1
09/01/2015,19:00:00,6D,6800 EASTBROOK AVE,LARCENY FROM AUTO,,241,SOUTHEASTERN,Eastwood,"(39.291270000000, -76.531140000000)",1
09/01/2015,19:00:00,6J,FULTON AV & EAGLE ST,LARCENY,,935,SOUTHERN,Carrollton Ridge,"(39.281070000000, -76.644780000000)",1
09/01/2015,18:15:00,6D,4700 WILLISTON ST,LARCENY FROM AUTO,,833,SOUTHWESTERN,Beechfield,"(39.274500000000, -76.695790000000)",1
09/01/2015,18:13:00,6C,500 RUSSELL ST,LARCENY,,941,SOUTHERN,Stadium Area,"(39.283040000000, -76.623170000000)",1
09/01/2015,18:00:00,3P,900 N BROADWAY,ROBBERY - STREET,,321,EASTERN,Middle East,"(39.301110000000, -76.594280000000)",1
09/01/2015,18:00:00,6D,1000 S ROBINSON ST,LARCENY FROM AUTO,,232,SOUTHEASTERN,Canton,"(39.280970000000, -76.571930000000)",1
09/01/2015,18:00:00,6D,300 DOLPHON ST,LARCENY FROM AUTO,,132,CENTRAL,Bolton Hill,"(39.303760000000, -76.624360000000)",1
09/01/2015,17:30:00,6E,100 N MONASTERY AVE,LARCENY,,843,SOUTHWESTERN,Allendale,"(39.288530000000, -76.675780000000)",1
09/01/2015,17:00:00,5A,2500 MARBOURNE AVE,BURGLARY,,923,SOUTHERN,Lakeland,"(39.253890000000, -76.649410000000)",1
09/01/2015,17:00:00,6D,1600 PATAPSCO ST,LARCENY FROM AUTO,,942,SOUTHERN,South Baltimore,"(39.271550000000, -76.613100000000)",1
09/01/2015,15:45:00,6D,2000 MCHENRY ST,LARCENY FROM AUTO,,934,SOUTHERN,Carrollton Ridge,"(39.284190000000, -76.648870000000)",1
09/01/2015,15:20:00,6C,4000 EASTERN AVE,LARCENY,,231,SOUTHEASTERN,Highlandtown,"(39.286810000000, -76.563080000000)",1
09/01/2015,15:00:00,4E,200 S AUGUSTA AVE,COMMON ASSAULT,,843,SOUTHWESTERN,Irvington,"(39.283270000000, -76.684740000000)",1
09/01/2015,15:00:00,4F,1400 N ELLAMONT ST,ASSAULT BY THREAT,,813,SOUTHWESTERN,Rosemont,"(39.303110000000, -76.670630000000)",1
09/01/2015,14:00:00,5D,1500 CHARLOTTE AVE,BURGLARY,,243,SOUTHEASTERN,Broening Manor,"(39.275320000000, -76.540480000000)",1
09/01/2015,13:06:00,5A,500 N PATTERSON PARK AVE,BURGLARY,,321,EASTERN,CARE,"(39.297030000000, -76.585050000000)",1
09/01/2015,13:00:00,5A,2000 HOLLINS ST,BURGLARY,,842,SOUTHWESTERN,Boyd-Booth,"(39.287030000000, -76.649050000000)",1
09/01/2015,13:00:00,6J,300 S GILMOR ST,LARCENY,,935,SOUTHERN,New Southwest/Mount Clare,"(39.284110000000, -76.642170000000)",1
09/01/2015,12:16:00,5A,1200 PINE HEIGHTS AVE,BURGLARY,,832,SOUTHWESTERN,Violetville,"(39.267920000000, -76.674820000000)",1
09/01/2015,12:00:00,6D,100 N CURLEY ST,LARCENY FROM AUTO,,222,SOUTHEASTERN,Patterson Park Neighborho,"(39.294300000000, -76.575590000000)",1
09/01/2015,12:00:00,6D,1100 HOMEWOOD AVE,LARCENY FROM AUTO,,311,EASTERN,Johnston Square,"(39.303080000000, -76.606510000000)",1
09/01/2015,12:00:00,6E,100 N KENWOOD AVE,LARCENY,,222,SOUTHEASTERN,Patterson Park Neighborho,"(39.293720000000, -76.577740000000)",1
09/01/2015,12:00:00,6J,2200 S NEWKIRK ST,LARCENY,,233,SOUTHEASTERN,Canton Industrial Area,"(39.266830000000, -76.555500000000)",1
09/01/2015,11:55:00,7A,2400 CALVERTON HEIGHTS AVE,AUTO THEFT,,721,WESTERN,Evergreen Lawn,"(39.297660000000, -76.655380000000)",1
09/01/2015,11:48:00,5B,1100 ORLEANS ST,BURGLARY,,211,EASTERN,Pleasant View Gardens,"(39.294780000000, -76.602730000000)",1
09/01/2015,11:17:00,4E,400 W LEXINGTON ST,COMMON ASSAULT,,111,CENTRAL,Downtown,"(39.291310000000, -76.610100000000)",1
09/01/2015,11:16:00,6J,200 W PATAPSCO AVE,LARCENY,,912,SOUTHERN,Brooklyn,"(39.239860000000, -76.613590000000)",1
09/01/2015,11:15:00,5A,100 N BELNORD AVE,BURGLARY,,222,SOUTHEASTERN,Patterson Park Neighborho,"(39.293670000000, -76.578370000000)",1
09/01/2015,11:01:00,5A,0 N CHESTER ST,BURGLARY,,212,SOUTHEASTERN,Butcher's Hill,"(39.292470000000, -76.587430000000)",1
09/01/2015,10:40:00,3CF,2100 E MADISON ST,ROBBERY - COMMERCIAL,FIREARM,321,EASTERN,Middle East,"(39.299760000000, -76.587150000000)",1
09/01/2015,10:40:00,4E,3700 CHESTLE PL,COMMON ASSAULT,,231,SOUTHEASTERN,Highlandtown,"(39.288180000000, -76.566400000000)",1
09/01/2015,10:30:00,6J,0 S ELLWOOD AVE,LARCENY,,222,SOUTHEASTERN,Patterson Park Neighborho,"(39.291900000000, -76.573260000000)",1
09/01/2015,10:19:00,3CF,3200 E BALTIMORE ST,ROBBERY - COMMERCIAL,FIREARM,222,SOUTHEASTERN,Patterson Park Neighborho,"(39.292440000000, -76.571490000000)",1
09/01/2015,09:44:00,6G,600 E PRATT ST,LARCENY,,112,CENTRAL,Inner Harbor,"(39.286760000000, -76.607810000000)",1
09/01/2015,09:00:00,6F,500 N CASTLE ST,LARCENY,,321,EASTERN,CARE,"(39.296720000000, -76.588550000000)",1
09/01/2015,08:00:00,6G,2600 FLEET ST,LARCENY,,232,SOUTHEASTERN,Canton,"(39.285150000000, -76.579320000000)",1
09/01/2015,07:32:59,2A,1200 STODDARD ALY,RAPE,OTHER,123,CENTRAL,Upton,"(39.301550000000, -76.627380000000)",1
09/01/2015,07:30:00,4E,2700 BERYL AVE,COMMON ASSAULT,,323,EASTERN,Biddle Street,"(39.303100000000, -76.579430000000)",1
09/01/2015,06:50:00,4E,3300 CLYDE ST,COMMON ASSAULT,,232,SOUTHEASTERN,Canton,"(39.282980000000, -76.569660000000)",1
09/01/2015,06:30:00,5A,2200 BOYER ST,BURGLARY,,212,SOUTHEASTERN,Butcher's Hill,"(39.291330000000, -76.585970000000)",1
09/01/2015,04:45:00,5D,2200 WILKENS AVE,BURGLARY,,841,SOUTHWESTERN,Carrollton Ridge,"(39.280460000000, -76.651200000000)",1
09/01/2015,04:14:00,4E,2500 MCHENRY ST,COMMON ASSAULT,,842,SOUTHWESTERN,Shipley Hill,"(39.283900000000, -76.656550000000)",1
09/01/2015,04:14:00,4E,2500 MCHENRY ST,COMMON ASSAULT,,842,SOUTHWESTERN,Shipley Hill,"(39.283900000000, -76.656550000000)",1
09/01/2015,04:14:00,4E,2500 MCHENRY ST,COMMON ASSAULT,,842,SOUTHWESTERN,Shipley Hill,"(39.283900000000, -76.656550000000)",1
09/01/2015,04:00:00,6G,300 OLDHAM ST,LARCENY,,242,SOUTHEASTERN,Greektown,"(39.288650000000, -76.555940000000)",1
09/01/2015,02:36:00,3K,2500 MARBOURNE AVE,ROBBERY - RESIDENCE,,923,SOUTHERN,Lakeland,"(39.253060000000, -76.647070000000)",1
09/01/2015,02:00:00,6D,3600 BENSON AVE,LARCENY FROM AUTO,,832,SOUTHWESTERN,Violetville,"(39.264240000000, -76.675280000000)",1
09/01/2015,02:00:00,6J,1500 RUSSELL ST,LARCENY,,941,SOUTHERN,Carroll - Camden Industri,"(39.274080000000, -76.627690000000)",1
09/01/2015,0102,1F,500 N FREMONT AV,HOMICIDE,FIREARM,713,WESTERN,Harlem Park,"(39.294480000000, -76.631960000000)",1
09/01/2015,01:56:00,3GF,2700 BOSTON ST,ROBBERY - COMMERCIAL,FIREARM,232,SOUTHEASTERN,Canton,"(39.279110000000, -76.577980000000)",1
09/01/2015,01:44:00,4B,3700 E LOMBARD ST,AGG. ASSAULT,KNIFE,223,SOUTHEASTERN,Baltimore Highlands,"(39.291410000000, -76.566260000000)",1
09/01/2015,01:30:00,4B,100 N MARTIN LUTHER KING JR BLVD,AGG. ASSAULT,KNIFE,121,CENTRAL,University Of Maryland,"(39.290290000000, -76.627430000000)",1
09/01/2015,01:01:00,4C,1600 HAZEL ST,AGG. ASSAULT,OTHER,911,SOUTHERN,Curtis Bay,"(39.226130000000, -76.587530000000)",1
09/01/2015,01:01:00,6G,1200 N CALHOUN ST,LARCENY,,743,WESTERN,Sandtown-Winchester,"(39.302640000000, -76.640290000000)",1
09/01/2015,01:01:00,6G,500 E CHASE ST,LARCENY,,311,EASTERN,Johnston Square,"(39.302610000000, -76.609480000000)",1
09/01/2015,00:01:00,6J,3500 5TH ST,LARCENY,,913,SOUTHERN,Brooklyn,"(39.237500000000, -76.603530000000)",1
09/01/2015,00:00:00,6F,1200 S CONKLING ST,LARCENY,,232,SOUTHEASTERN,Canton,"(39.279340000000, -76.566720000000)",1
09/02/2015,23:51:00,6G,200 N WASHINGTON ST,LARCENY,,212,SOUTHEASTERN,CARE,"(39.294310000000, -76.589290000000)",1
09/02/2015,23:30:00,7A,2100 CAMBRIDGE ST,AUTO THEFT,,232,SOUTHEASTERN,Canton,"(39.284760000000, -76.586400000000)",1
09/02/2015,23:00:00,7A,900 BRUNSWICK ST,AUTO THEFT,,841,SOUTHWESTERN,Millhill,"(39.277950000000, -76.658670000000)",1
09/02/2015,22:50:00,3AF,3800 LEADENHALL ST,ROBBERY - STREET,FIREARM,913,SOUTHERN,Brooklyn,"(39.236260000000, -76.613930000000)",1
09/02/2015,22:40:00,6B,2500 W PRATT ST,LARCENY,,842,SOUTHWESTERN,Shipley Hill,"(39.284740000000, -76.656760000000)",1
09/02/2015,22:17:00,3AF,600 E FAYETTE ST,ROBBERY - STREET,FIREARM,111,CENTRAL,Downtown,"(39.290610000000, -76.607700000000)",1
09/02/2015,22:04:00,7A,400 MILLINGTON AVE,AUTO THEFT,,841,SOUTHWESTERN,Millhill,"(39.281170000000, -76.656930000000)",1
09/02/2015,21:44:00,4E,2500 EDMONDSON AVE,COMMON ASSAULT,,721,WESTERN,Rosemont Homeowners/Tenan,"(39.294720000000, -76.657150000000)",1
09/02/2015,21:21:00,4A,2800 W LANVALE ST,AGG. ASSAULT,FIREARM,721,WESTERN,Mosher,"(39.297150000000, -76.664190000000)",1
09/02/2015,21:00:00,6D,3200 WESTMONT AVE,LARCENY FROM AUTO,,813,SOUTHWESTERN,Rosemont,"(39.300900000000, -76.671150000000)",1
09/02/2015,21:00:00,6D,2600 BOSTON ST,LARCENY FROM AUTO,,232,SOUTHEASTERN,Canton,"(39.280660000000, -76.580330000000)",1
09/02/2015,21:00:00,7A,1100 Woodyear St,AUTO THEFT,,743,WESTERN,Sandtown-Winchester,"(39.301330000000, -76.639580000000)",1
09/02/2015,20:45:00,7A,2500 W PATAPSCO AVE,AUTO THEFT,,923,SOUTHERN,Lakeland,"(39.252500000000, -76.651850000000)",1
09/02/2015,20:20:00,4C,800 W PATAPSCO AVE,AGG. ASSAULT,OTHER,922,SOUTHERN,Cherry Hill,"(39.244300000000, -76.632220000000)",1
09/02/2015,20:20:00,4C,800 W PATAPSCO AVE,AGG. ASSAULT,OTHER,922,SOUTHERN,Cherry Hill,"(39.244300000000, -76.632220000000)",1
09/02/2015,20:00:00,7A,3000 E MADISON ST,AUTO THEFT,,323,EASTERN,Madison-Eastend,"(39.300210000000, -76.574910000000)",1
09/02/2015,19:10:00,4A,3900 PASCAL AVE,AGG. ASSAULT,FIREARM,911,SOUTHERN,Curtis Bay,"(39.229690000000, -76.591490000000)",1
09/02/2015,19:00:00,5D,800 KEY HWY,BURGLARY,,942,SOUTHERN,Inner Harbor,"(39.279690000000, -76.606370000000)",1
09/02/2015,19:00:00,6E,800 HOLLINS ST,LARCENY,,931,SOUTHERN,Hollins Market,"(39.288020000000, -76.628910000000)",1
09/02/2015,19:00:00,6F,1100 N CALVERT ST,LARCENY,,141,CENTRAL,Mid-Town Belvedere,"(39.302650000000, -76.613190000000)",1
09/02/2015,18:40:00,4A,300 E MADISON ST,AGG. ASSAULT,FIREARM,312,EASTERN,Penn-Fallsway,"(39.298830000000, -76.610420000000)",1
09/02/2015,18:30:00,4B,600 S WOLFE ST,AGG. ASSAULT,KNIFE,213,SOUTHEASTERN,Fells Point,"(39.284540000000, -76.590050000000)",1
09/02/2015,18:00:00,5D,3900 FREDERICK AVE,BURGLARY,,843,SOUTHWESTERN,Irvington,"(39.281810000000, -76.681380000000)",1
09/02/2015,18:00:00,6D,200 ALBEMARLE ST,LARCENY FROM AUTO,,211,SOUTHEASTERN,Little Italy,"(39.287250000000, -76.603060000000)",1
09/02/2015,18:00:00,7A,5900 PULASKI HWY,AUTO THEFT,,433,NORTHEASTERN,Armistead Gardens,"(39.302460000000, -76.546460000000)",1
09/02/2015,18:00:00,7A,800 PARK AVE,AUTO THEFT,,142,CENTRAL,Mount Vernon,"(39.298750000000, -76.618490000000)",1
09/02/2015,17:00:00,5D,100 S WARWICK AVE,BURGLARY,,842,SOUTHWESTERN,Shipley Hill,"(39.285300000000, -76.654140000000)",1
09/02/2015,17:00:00,6E,1500 BRADDISH AVE,LARCENY,,813,SOUTHWESTERN,Northwest Community Actio,"(39.304930000000, -76.660850000000)",1
09/02/2015,17:00:00,6J,900 DESOTO RD,LARCENY,,832,SOUTHWESTERN,Wilhelm Park,"(39.274660000000, -76.667990000000)",1
09/02/2015,16:37:00,4B,400 E FAYETTE ST,AGG. ASSAULT,KNIFE,111,CENTRAL,Downtown,"(39.290550000000, -76.610070000000)",1
09/02/2015,16:00:00,6G,500 N LUZERNE AVE,LARCENY,,221,SOUTHEASTERN,McElderry Park,"(39.297030000000, -76.580730000000)",1
09/02/2015,16:00:00,6J,900 S MACON SQ,LARCENY,,242,SOUTHEASTERN,Greektown,"(39.282100000000, -76.557400000000)",1
09/02/2015,1504,9S,3300 W LEXINGTON ST,SHOOTING,FIREARM,843,SOUTHWESTERN,Allendale,"(39.289320000000, -76.674800000000)",1
09/02/2015,1504,9S,3300 W LEXINGTON ST,SHOOTING,FIREARM,843,SOUTHWESTERN,Allendale,"(39.289320000000, -76.674800000000)",1
09/02/2015,15:53:00,6D,0 LIGHT ST,LARCENY FROM AUTO,,111,CENTRAL,Downtown,"(39.288720000000, -76.613670000000)",1
09/02/2015,15:37:00,3AF,0 W PATAPSCO AVE,ROBBERY - STREET,FIREARM,913,SOUTHERN,Brooklyn,"(39.238560000000, -76.609730000000)",1
09/02/2015,15:08:00,4A,3300 W LEXINGTON ST,AGG. ASSAULT,FIREARM,843,SOUTHWESTERN,Allendale,"(39.289320000000, -76.674800000000)",1
09/02/2015,15:00:00,6D,500 BRUNSWICK ST,LARCENY FROM AUTO,,841,SOUTHWESTERN,Millhill,"(39.279000000000, -76.659240000000)",1
09/02/2015,15:00:00,6J,2200 PRESSTMAN ST,LARCENY,,723,WESTERN,Coppin Heights/Ash-Co-Eas,"(39.305040000000, -76.652570000000)",1
09/02/2015,14:52:00,4E,3100 STRICKLAND ST,COMMON ASSAULT,,832,SOUTHWESTERN,Gwynns Falls,"(39.277610000000, -76.669390000000)",1
09/02/2015,14:50:00,6J,1200 N LINWOOD AVE,LARCENY,,332,EASTERN,Berea,"(39.305400000000, -76.576990000000)",1
09/02/2015,14:45:00,4F,400 N KENWOOD AVE,ASSAULT BY THREAT,,221,SOUTHEASTERN,McElderry Park,"(39.295920000000, -76.577880000000)",1
09/02/2015,14:15:00,4E,200 S DALLAS CT,COMMON ASSAULT,,211,SOUTHEASTERN,Perkins Homes,"(39.287750000000, -76.596500000000)",1
09/02/2015,14:11:00,6F,1000 W LANVALE ST,LARCENY,,713,WESTERN,Harlem Park,"(39.297950000000, -76.635250000000)",1
09/02/2015,14:10:00,6C,2400 FREDERICK AVE,LARCENY,,841,SOUTHWESTERN,Millhill,"(39.283430000000, -76.655810000000)",1
09/02/2015,14:00:00,5A,500 N CAREY ST,BURGLARY,,713,WESTERN,Harlem Park,"(39.294510000000, -76.638420000000)",1
09/02/2015,14:00:00,6C,4100 FREDERICK AVE,LARCENY,,833,SOUTHWESTERN,Irvington,"(39.281690000000, -76.683880000000)",1
09/02/2015,13:18:00,8AO,2500 W BALTIMORE ST,ARSON,FIRE,842,SOUTHWESTERN,Shipley Hill,"(39.287720000000, -76.657490000000)",1
09/02/2015,13:10:00,4F,300 LIGHT ST,ASSAULT BY THREAT,,112,CENTRAL,Inner Harbor,"(39.285000000000, -76.613090000000)",1
09/02/2015,13:10:00,6D,6200 BROWN AVE,LARCENY FROM AUTO,,243,SOUTHEASTERN,Broening Manor,"(39.273930000000, -76.540120000000)",1
09/02/2015,13:00:00,4E,800 E FAYETTE ST,COMMON ASSAULT,,211,SOUTHEASTERN,Jonestown,"(39.290980000000, -76.605160000000)",1
09/02/2015,12:15:00,5A,1400 W LOMBARD ST,BURGLARY,,933,SOUTHERN,Union Square,"(39.286490000000, -76.640290000000)",1
09/02/2015,12:00:00,5A,300 S CHESTER ST,BURGLARY,,212,SOUTHEASTERN,Upper Fells Point,"(39.287420000000, -76.587110000000)",1
09/02/2015,12:00:00,6C,300 LIGHT ST,LARCENY,,112,CENTRAL,Inner Harbor,"(39.285000000000, -76.613090000000)",1
09/02/2015,12:00:00,6G,1200 DELBERT AVE,LARCENY,,243,SOUTHEASTERN,Graceland Park,"(39.282030000000, -76.529890000000)",1
09/02/2015,11:45:00,4A,2100 FREDERICK AVE,AGG. ASSAULT,FIREARM,842,SOUTHWESTERN,Shipley Hill,"(39.285480000000, -76.650880000000)",1
09/02/2015,11:45:00,6C,3800 E LOMBARD ST,LARCENY,,223,SOUTHEASTERN,Baltimore Highlands,"(39.291500000000, -76.565520000000)",1
09/02/2015,11:41:00,6C,1000 S CHARLES ST,LARCENY,,942,SOUTHERN,Federal Hill,"(39.278070000000, -76.614480000000)",1
09/02/2015,11:30:00,6J,1100 HUNTER ST,LARCENY,,141,CENTRAL,Mid-Town Belvedere,"(39.303300000000, -76.612560000000)",1
09/02/2015,11:02:00,6G,300 LIGHT ST,LARCENY,,113,CENTRAL,Downtown West,"(39.284860000000, -76.613410000000)",1
09/02/2015,11:02:00,6G,300 LIGHT ST,LARCENY,,113,CENTRAL,Downtown West,"(39.284860000000, -76.613410000000)",1
09/02/2015,10:14:00,6J,300 N EUTAW ST,LARCENY,,111,CENTRAL,Downtown,"(39.292980000000, -76.621190000000)",1
09/02/2015,09:30:00,4E,100 S CALVERT ST,COMMON ASSAULT,,112,CENTRAL,Inner Harbor,"(39.287600000000, -76.612180000000)",1
09/02/2015,09:00:00,6G,1000 N CALVERT ST,LARCENY,,141,CENTRAL,Mid-Town Belvedere,"(39.301630000000, -76.613130000000)",1
09/02/2015,08:45:00,5A,300 S MADEIRA ST,BURGLARY,,212,SOUTHEASTERN,Upper Fells Point,"(39.287290000000, -76.585080000000)",1
09/02/2015,08:45:00,5B,400 GWYNN AVE,BURGLARY,,843,SOUTHWESTERN,Lower Edmondson Village,"(39.292410000000, -76.673790000000)",1
09/02/2015,08:28:00,4B,400 OXFORD CT,AGG. ASSAULT,KNIFE,123,CENTRAL,Upton,"(39.300690000000, -76.624570000000)",1
09/02/2015,07:52:00,3CK,200 W CHASE ST,ROBBERY - COMMERCIAL,KNIFE,141,CENTRAL,Mid-Town Belvedere,"(39.301400000000, -76.619700000000)",1
09/02/2015,07:00:00,5A,3200 NORMOUNT AVE,BURGLARY,,813,SOUTHWESTERN,Rosemont,"(39.301900000000, -76.670780000000)",1
09/02/2015,06:15:00,6C,100 W LEXINGTON ST,LARCENY,,111,CENTRAL,Downtown,"(39.291640000000, -76.617290000000)",1
09/02/2015,05:09:00,3GK,300 N CHARLES ST,ROBBERY - COMMERCIAL,KNIFE,111,CENTRAL,Downtown,"(39.292480000000, -76.615380000000)",1
09/02/2015,01:57:00,4C,300 S FULTON AVE,AGG. ASSAULT,OTHER,935,SOUTHERN,New Southwest/Mount Clare,"(39.283840000000, -76.644910000000)",1
09/02/2015,01:30:00,4B,0 N HILTON ST,AGG. ASSAULT,KNIFE,842,SOUTHWESTERN,Saint Josephs,"(39.286510000000, -76.672370000000)",1
09/02/2015,01:01:00,4E,200 W LEXINGTON ST,COMMON ASSAULT,,111,CENTRAL,Downtown,"(39.291630000000, -76.618260000000)",1
09/02/2015,00:01:00,6D,3000 DILLON ST,LARCENY FROM AUTO,,232,SOUTHEASTERN,Canton,"(39.281260000000, -76.573180000000)",1
09/03/2015,23:30:00,3AF,0 N HOWARD ST,ROBBERY - STREET,FIREARM,111,CENTRAL,Downtown,"(39.289430000000, -76.619410000000)",1
09/03/2015,22:55:00,7A,300 N CALVERT ST,AUTO THEFT,,111,CENTRAL,Downtown,"(39.294170000000, -76.612620000000)",1
09/03/2015,22:21:00,4E,1500 RUSSELL ST,COMMON ASSAULT,,941,SOUTHERN,Carroll - Camden Industri,"(39.274080000000, -76.627690000000)",1
09/03/2015,22:02:00,3AF,800 RYAN ST,ROBBERY - STREET,FIREARM,932,SOUTHERN,Washington Village/Pigtow,"(39.283860000000, -76.629550000000)",1
09/03/2015,22:01:00,4E,0 LIGHT ST,COMMON ASSAULT,,111,CENTRAL,Downtown,"(39.288000000000, -76.613690000000)",1
09/03/2015,22:00:00,6J,500 E JEFFREY ST,LARCENY,,913,SOUTHERN,Brooklyn,"(39.233610000000, -76.605300000000)",1
09/03/2015,21:39:00,4C,1700 LIGHT ST,AGG. ASSAULT,OTHER,942,SOUTHERN,South Baltimore,"(39.270300000000, -76.611650000000)",1
09/03/2015,21:00:00,6D,1300 PATAPSCO ST,LARCENY FROM AUTO,,942,SOUTHERN,South Baltimore,"(39.274410000000, -76.613290000000)",1
09/03/2015,20:45:00,6J,ST & S POTOMAC ST,LARCENY,,232,SOUTHEASTERN,Canton,"(39.277950000000, -76.573850000000)",1
09/03/2015,20:15:00,4E,AV & BRADDISH AV,COMMON ASSAULT,,721,WESTERN,Rosemont Homeowners/Tenan,"(39.294620000000, -76.659390000000)",1
09/03/2015,20:15:00,6G,700 S HANOVER ST,LARCENY,,942,SOUTHERN,Federal Hill,"(39.280280000000, -76.615720000000)",1
09/03/2015,20:00:00,4C,2700 MCELDERRY ST,AGG. ASSAULT,OTHER,221,SOUTHEASTERN,McElderry Park,"(39.297890000000, -76.579340000000)",1
09/03/2015,20:00:00,5A,1400 PATAPSCO ST,BURGLARY,,942,SOUTHERN,South Baltimore,"(39.273460000000, -76.613310000000)",1
09/03/2015,19:30:00,4E,400 N WARWICK AVE,COMMON ASSAULT,,842,SOUTHWESTERN,Penrose/Fayette Street Ou,"(39.292830000000, -76.656250000000)",1
09/03/2015,19:30:00,4E,400 N WARWICK AVE,COMMON ASSAULT,,842,SOUTHWESTERN,Penrose/Fayette Street Ou,"(39.292830000000, -76.656250000000)",1
09/03/2015,19:30:00,4E,1000 PENNSYLVANIA AVE,COMMON ASSAULT,,123,CENTRAL,Upton,"(39.298140000000, -76.627940000000)",1
09/03/2015,19:30:00,6E,600 WHITMORE AVE,LARCENY,,721,WESTERN,Rosemont Homeowners/Tenan,"(39.295130000000, -76.657930000000)",1
09/03/2015,19:10:00,5A,1000 N MILTON AVE,BURGLARY,,323,EASTERN,Biddle Street,"(39.302860000000, -76.582510000000)",1
09/03/2015,18:00:00,5D,1400 LIGHT ST,BURGLARY,,942,SOUTHERN,South Baltimore,"(39.273160000000, -76.611850000000)",1
09/03/2015,18:00:00,6D,100 N BENTALOU ST,LARCENY FROM AUTO,,714,WESTERN,Penrose/Fayette Street Ou,"(39.289740000000, -76.652920000000)",1
09/03/2015,18:00:00,6G,6400 E PRATT ST,LARCENY,,241,SOUTHEASTERN,Hopkins Bayview,"(39.290470000000, -76.538090000000)",1
09/03/2015,17:30:00,6D,2900 E BALTIMORE ST,LARCENY FROM AUTO,,222,SOUTHEASTERN,Patterson Park Neighborho,"(39.292230000000, -76.575320000000)",1
09/03/2015,17:30:00,7A,100 S EAST AVE,AUTO THEFT,,222,SOUTHEASTERN,Patterson Park Neighborho,"(39.291060000000, -76.571850000000)",1
09/03/2015,17:18:00,6J,700 N HILTON ST,LARCENY,,844,SOUTHWESTERN,Edgewood,"(39.296010000000, -76.672890000000)",1
09/03/2015,17:00:00,4E,100 N CHARLES ST,COMMON ASSAULT,,111,CENTRAL,Downtown,"(39.290570000000, -76.615240000000)",1
09/03/2015,17:00:00,6F,1000 S CHARLES ST,LARCENY,,942,SOUTHERN,Federal Hill,"(39.277450000000, -76.614440000000)",1
09/03/2015,1630,1F,3900 9TH ST,HOMICIDE,FIREARM,913,SOUTHERN,Brooklyn,"(39.231930000000, -76.599300000000)",1
09/03/2015,16:22:00,4C,1500 THAMES ST,AGG. ASSAULT,OTHER,213,SOUTHEASTERN,Fells Point,"(39.280240000000, -76.595810000000)",1
09/03/2015,16:04:00,6C,3800 EASTERN AVE,LARCENY,,233,SOUTHEASTERN,Brewers Hill,"(39.286670000000, -76.564990000000)",1
09/03/2015,16:00:00,6E,400 W MONUMENT ST,LARCENY,,143,CENTRAL,Seton Hill,"(39.297470000000, -76.621810000000)",1
09/03/2015,16:00:00,6E,2900 PULASKI HWY,LARCENY,,224,SOUTHEASTERN,Ellwood Park/Monument,"(39.295200000000, -76.575740000000)",1
09/03/2015,16:00:00,7A,3300 LOHRS LN,AUTO THEFT,,842,SOUTHWESTERN,Saint Josephs,"(39.284880000000, -76.672360000000)",1
09/03/2015,15:01:00,6D,1400 MARSHALL ST,LARCENY FROM AUTO,,942,SOUTHERN,South Baltimore,"(39.274040000000, -76.612640000000)",1
09/03/2015,14:15:00,6J,1800 WORCESTER ST,LARCENY,,941,SOUTHERN,Carroll - Camden Industri,"(39.275890000000, -76.629220000000)",1
09/03/2015,13:30:00,3AK,1100 PENNSYLVANIA AVE,ROBBERY - STREET,KNIFE,123,CENTRAL,Upton,"(39.299000000000, -76.628980000000)",1
